I, [2020-01-24T18:02:15.717214 #6490]  INFO -- Kitchen: -----> Starting Kitchen (v1.19.2)
E, [2020-01-24T18:02:15.717432 #6490] ERROR -- Kitchen: ------Exception-------
E, [2020-01-24T18:02:15.717452 #6490] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2020-01-24T18:02:15.717464 #6490] ERROR -- Kitchen: Message: Kitchen YAML file /home/cloud_user/chef/cookbooks/.kitchen.yml does not exist.
E, [2020-01-24T18:02:15.717474 #6490] ERROR -- Kitchen: ----------------------
E, [2020-01-24T18:02:15.717483 #6490] ERROR -- Kitchen: ------Backtrace-------
E, [2020-01-24T18:02:15.717492 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2020-01-24T18:02:15.717501 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:152:in `data'
E, [2020-01-24T18:02:15.717511 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:131:in `suites'
E, [2020-01-24T18:02:15.717520 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2020-01-24T18:02:15.717529 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2020-01-24T18:02:15.717538 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:117:in `instances'
E, [2020-01-24T18:02:15.717547 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2020-01-24T18:02:15.717556 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2020-01-24T18:02:15.717565 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command/action.rb:35:in `block in call'
E, [2020-01-24T18:02:15.717574 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2020-01-24T18:02:15.717583 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command/action.rb:34:in `call'
E, [2020-01-24T18:02:15.717592 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/cli.rb:52:in `perform'
E, [2020-01-24T18:02:15.717601 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2020-01-24T18:02:15.717610 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2020-01-24T18:02:15.717619 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2020-01-24T18:02:15.717628 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2020-01-24T18:02:15.717637 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2020-01-24T18:02:15.717646 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/bin/kitchen:13:in `block in <top (required)>'
E, [2020-01-24T18:02:15.717655 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2020-01-24T18:02:15.717664 #6490] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/bin/kitchen:13:in `<top (required)>'
E, [2020-01-24T18:02:15.717679 #6490] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:255:in `load'
E, [2020-01-24T18:02:15.717688 #6490] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:255:in `<main>'
E, [2020-01-24T18:02:15.717697 #6490] ERROR -- Kitchen: ----End Backtrace-----
